Id	Img Id	Da	Dp	FWidth	FLength	ELength	EWidth	Volume	Area	Perimeter	CHull  Area	CHull Perimeter	Sphericity	Compactness	Roundness	Ellipse Ratio	Circularity	Solidity	Concavity	Convexity	Extent	hash	Transparency	Curvature	Surface Area	Filter0	Filter1	Filter2	Filter3	Filter4	Filter5	Filter6	L/W Ratio	W/L Aspect Ratio	CHull Surface Area	Ellipticity	Fiber Length	Fiber Width
 	 	µm	µm	µm	µm	µm	µm	µm³	µm²	µm	µm²	µm	 	 	 	 	 	 	 	 	 	 	 	 	µm²	 	 	 	 	 	 	 	 	 	µm²	 	µm	µm
276	213	18.850	19.767	18.576	20.986	19.577	18.186	3506.961	279.069	62.099	287.709	61.256	0.954	0.898	0.807	0.929	0.909	0.970	0.030	0.986	0.716	2.65355068044996915E18	0.332	0.000	1116.276	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.130	0.885	1150.836	1.076	0.000	0.000
318	225	18.475	20.793	18.568	20.578	19.055	17.992	3301.744	268.073	65.322	288.714	61.764	0.889	0.898	0.806	0.944	0.789	0.929	0.071	0.946	0.702	2.63550102977137357E18	0.360	0.000	1072.292	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.108	0.902	1154.858	1.059	0.000	0.000
724	375	18.690	21.478	18.565	22.070	20.022	17.571	3418.539	274.358	67.477	301.265	63.000	0.870	0.847	0.717	0.878	0.757	0.911	0.089	0.934	0.670	3.64409129146033306E18	0.373	0.000	1097.432	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.189	0.841	1205.059	1.139	0.000	0.000
801	632	19.084	21.546	18.547	21.543	20.306	17.966	3639.062	286.034	67.689	304.570	63.063	0.886	0.886	0.785	0.885	0.784	0.939	0.061	0.932	0.716	3.6463436419691264E18	0.363	0.000	1144.135	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.162	0.861	1218.279	1.130	0.000	0.000
326	228	18.566	21.222	18.511	20.573	19.167	18.053	3351.085	270.737	66.672	295.472	61.889	0.875	0.902	0.814	0.942	0.765	0.916	0.084	0.928	0.711	2.6355401302288215E18	0.356	0.000	1082.949	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.111	0.900	1181.888	1.062	0.000	0.000
397	254	22.836	28.385	18.488	30.665	30.440	17.371	6235.043	409.560	89.173	447.504	79.690	0.805	0.745	0.555	0.571	0.647	0.915	0.085	0.894	0.722	2.63556582255324621E18	0.345	0.000	1638.238	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.659	0.603	1790.016	1.752	28.916	14.164
711	367	18.314	21.082	18.479	20.543	18.919	17.834	3216.404	263.434	66.230	284.957	60.869	0.869	0.892	0.795	0.943	0.755	0.924	0.076	0.919	0.694	2.63556658065092557E18	0.394	0.000	1053.734	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.112	0.900	1139.828	1.061	0.000	0.000
3	74	18.308	21.372	18.476	21.379	18.706	17.896	3213.209	263.259	67.141	284.894	61.345	0.857	0.856	0.733	0.957	0.734	0.924	0.076	0.914	0.666	2.63557139972380211E18	0.397	0.000	1053.037	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.157	0.864	1139.575	1.045	0.000	0.000
258	205	18.269	19.653	18.423	19.727	18.727	17.847	3192.352	262.119	61.741	276.939	59.852	0.930	0.926	0.858	0.953	0.864	0.946	0.054	0.969	0.721	2.63554012376982682E18	0.378	0.000	1048.475	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.071	0.934	1107.755	1.049	0.000	0.000
451	273	18.512	20.283	18.296	20.570	18.946	18.201	3321.763	269.155	63.720	283.931	61.213	0.913	0.900	0.810	0.961	0.833	0.948	0.052	0.961	0.715	3.64659384958631066E18	0.389	0.000	1076.622	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.124	0.889	1135.726	1.041	0.000	0.000
26	101	19.716	23.741	18.285	23.507	21.584	18.179	4013.101	305.312	74.584	337.087	67.016	0.830	0.839	0.703	0.842	0.690	0.906	0.094	0.899	0.710	3.9351496888452009E18	0.417	0.000	1221.249	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.286	0.778	1348.347	1.187	25.155	12.137
780	495	18.621	20.202	18.272	20.347	19.532	17.820	3380.786	272.334	63.468	287.193	61.070	0.922	0.915	0.838	0.912	0.850	0.948	0.052	0.962	0.732	2.63754178469002803E18	0.356	0.000	1089.338	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.114	0.898	1148.772	1.096	0.000	0.000
353	238	21.275	27.863	18.126	29.220	26.239	17.300	5041.817	355.480	87.533	400.281	74.819	0.764	0.728	0.530	0.659	0.583	0.888	0.112	0.855	0.671	3.78843069588798208E18	0.353	0.503	1421.921	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.612	0.620	1601.125	1.517	30.728	11.568
685	352	17.854	19.738	18.095	19.385	18.465	17.339	2979.809	250.351	62.010	267.475	59.298	0.905	0.921	0.848	0.939	0.818	0.936	0.064	0.956	0.714	2.63528552455280538E18	0.346	0.000	1001.405	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.071	0.933	1069.901	1.065	0.000	0.000
745	398	18.899	20.705	18.067	20.973	20.747	17.272	3534.455	280.526	65.046	299.748	62.484	0.913	0.901	0.812	0.832	0.833	0.936	0.064	0.961	0.740	2.77968219726908109E18	0.352	0.000	1122.102	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.161	0.861	1198.992	1.201	0.000	0.000
